cds0_ppan ppan
cds0_ptro ptro
cds0_hsap hsap
cds0_ggor ggor
cds0_pabe pabe
Predicted_CDS_Group0_cds0_ppan_to_pabe pabe
Predicted_Protein_Group0_cds0_ppan_to_hsap hsap
Predicted_Protein_Group1_cds0_hsap_to_ptro ptro
Predicted_CDS_Group2_cds0_ggor_to_hsap hsap
Predicted_CDS_Group2_cds0_ggor_to_ptro ptro
